Retail sales of electricity United States monthly,
Month,commercial million kilowatthours
Apr 2023,101818.86078
Mar 2023,109889.57486
Feb 2023,100854.68313
Jan 2023,110077.44833
Dec 2022,111782.50079
Nov 2022,104960.71008
Oct 2022,110297.45731
Sep 2022,122533.00354
Aug 2022,134163.90096
Jul 2022,132307.73116
Jun 2022,120011.55117
May 2022,111360.84953
Apr 2022,103819.9492
Mar 2022,107850.22418
Feb 2022,101654.82443
Jan 2022,112288.58718
Dec 2021,106515.56744
Nov 2021,103506.07833
Oct 2021,112246.47542
Sep 2021,118988.68357
Aug 2021,131111.12131
Jul 2021,127855.73402
Jun 2021,119052.69114
May 2021,104711.2089
Apr 2021,98721.37911
Mar 2021,102877.23442
Feb 2021,98355.67733
Jan 2021,104497.64717
Dec 2020,105456.20387
Nov 2020,97896.62004
Oct 2020,108468.18854
Sep 2020,113219.74254
Aug 2020,123056.88421
Jul 2020,127107.48118
Jun 2020,109592.71987
May 2020,94299.1629
Apr 2020,91405.77238
Mar 2020,104109.84326
Feb 2020,103014.76876
Jan 2020,109812.19558
Dec 2019,108001.47569
Nov 2019,102840.01355
Oct 2019,115304.90269
Sep 2019,122059.1507
Aug 2019,130776.1738
Jul 2019,130951.45258
Jun 2019,115745.02702
May 2019,111200.9527
Apr 2019,102445.9396
Mar 2019,107468.19984
Feb 2019,102070.87863
Jan 2019,112012.38825
Dec 2018,107998.08271
Nov 2018,104983.1121
Oct 2018,116133.34132
Sep 2018,122033.47842
Aug 2018,134848.07012
Jul 2018,131521.57202
Jun 2018,122011.1754
May 2018,113175.48258
Apr 2018,103331.47962
Mar 2018,108108.34274
Feb 2018,102685.44876
Jan 2018,114925.25918
Dec 2017,109305.5211
Nov 2017,104973.10002
Oct 2017,113287.1917
Sep 2017,118788.75907
Aug 2017,128481.00787
Jul 2017,129276.62303
Jun 2017,120013.1553
May 2017,109872.0998
Apr 2017,102589.04963
Mar 2017,107172.86432
Feb 2017,99639.93551
Jan 2017,109488.38655
Dec 2016,110172.08074
Nov 2016,105059.86751
Oct 2016,112962.81663
Sep 2016,123492.82377
Aug 2016,135018.84084
Jul 2016,130038.31813
Jun 2016,120363.27304
May 2016,108436.89218
Apr 2016,102045.12866
Mar 2016,105739.17841
Feb 2016,103451.68958
Jan 2016,110410.4764
Dec 2015,106829.42741
Nov 2015,104140.23952
Oct 2015,112821.48753
Sep 2015,122195.40637
Aug 2015,128518.92244
Jul 2015,128504.25329
Jun 2015,119270.12121
May 2015,109405.65371
Apr 2015,104167.79782
Mar 2015,107796.08358
Feb 2015,105482.47635
Jan 2015,111619.65742
Dec 2014,108070.2444
Nov 2014,104245.46931
Oct 2014,113023.10289
Sep 2014,120048.81267
Aug 2014,125603.00367
Jul 2014,125434.14702
Jun 2014,118422.5304
May 2014,109665.54886
Apr 2014,102458.94982
Mar 2014,106967.88672
Feb 2014,104352.64247
Jan 2014,113865.92486
Dec 2013,108762.40498
Nov 2013,103384.47877
Oct 2013,111906.62154
Sep 2013,118407.72153
Aug 2013,127063.27433
Jul 2013,127310.57593
Jun 2013,117410.41288
May 2013,108682.60602
Apr 2013,101394.9418
Mar 2013,104011.35848
Feb 2013,101015.6343
Jan 2013,107728.74656
Dec 2012,104122.34865
Nov 2012,101640.73826
Oct 2012,110471.00997
Sep 2012,116584.97051
Aug 2012,128106.4177
Jul 2012,128535.30752
Jun 2012,118009.39147
May 2012,110800.44713
Apr 2012,101036.70763
Mar 2012,102474.42295
Feb 2012,100080.12366
Jan 2012,105239.31021
Dec 2011,104866.07866
Nov 2011,100552.41991
Oct 2011,108649.56376
Sep 2011,117951.31165
Aug 2011,129368.47817
Jul 2011,128065.43317
Jun 2011,118170.17391
May 2011,107624.53459
Apr 2011,100506.21559
Mar 2011,104257.05814
Feb 2011,99795.53835
Jan 2011,108250.63314
Dec 2010,108026.30702
Nov 2010,101518.93623
Oct 2010,108460.80315
Sep 2010,119136.72305
Aug 2010,129166.3266
Jul 2010,127923.96458
Jun 2010,119384.99993
May 2010,106172.1027
Apr 2010,99790.36122
Mar 2010,101751.35586
Feb 2010,100746.97804
Jan 2010,108120.50557
Dec 2009,108477.64119
Nov 2009,98901.26048
Oct 2009,108513.64705
Sep 2009,114900.22901
Aug 2009,123776.73329
Jul 2009,121323.02953
Jun 2009,114832.07907
May 2009,105211.81067
Apr 2009,99804.15979
Mar 2009,102458.09406
Feb 2009,99010.67533
Jan 2009,109643.16445
Dec 2008,107185.88253
Nov 2008,102414.68843
Oct 2008,110849.71329
Sep 2008,118288.84717
Aug 2008,124195.6496
Jul 2008,128072.03466
Jun 2008,119372.96065
May 2008,107473.48707
Apr 2008,101487.44971
Mar 2008,103334.63273
Feb 2008,104396.86107
Jan 2008,109061.27815
Dec 2007,105908.55314
Nov 2007,104603.26135
Oct 2007,114481.20828
Sep 2007,119898.38511
Aug 2007,130474.68013
Jul 2007,123923.08608
Jun 2007,117351.90897
May 2007,108558.89122
Apr 2007,101051.20537
Mar 2007,102640.14808
Feb 2007,100756.42866
Jan 2007,106667.43962
Dec 2006,104672.98538
Nov 2006,101103.66444
Oct 2006,109000.01878
Sep 2006,114230.57436
Aug 2006,127654.72298
Jul 2006,125541.18393
Jun 2006,115785.42304
May 2006,106441.98201
Apr 2006,96551.16055
Mar 2006,101115.44679
Feb 2006,95713.18742
Jan 2006,101933.34533
Dec 2005,103531.01217
Nov 2005,98799.24861
Oct 2005,108474.38377
Sep 2005,116516.874
Aug 2005,124436.15518
Jul 2005,122037.03201
Jun 2005,114100.72922
May 2005,99701.62451
Apr 2005,94439.49428
Mar 2005,98923.67621
Feb 2005,93256.63986
Jan 2005,100862.15018
Dec 2004,101980.20633
Nov 2004,95752.66477
Oct 2004,102325.83477
Sep 2004,109595.29408
Aug 2004,114452.49394
Jul 2004,115495.42265
Jun 2004,108122.25804
May 2004,100879.28578
Apr 2004,93531.82545
Mar 2004,95330.87993
Feb 2004,93677.46255
Jan 2004,99281.10271
Dec 2003,97869.68409
Nov 2003,92604.74302
Oct 2003,100036.26335
Sep 2003,106472.70316
Aug 2003,116224.46136
Jul 2003,115232.9169
Jun 2003,102407.24564
May 2003,95818.83157
Apr 2003,89684.69152
Mar 2003,92579.67309
Feb 2003,91238.91884
Jan 2003,98557.46847
Dec 2002,89053.64535
Nov 2002,86095.43524
Oct 2002,96312.65137
Sep 2002,100808.79734
Aug 2002,105819.30677
Jul 2002,105985.52252
Jun 2002,95903.30254
May 2002,88974.19272
Apr 2002,83619.00093
Mar 2002,83544.91242
Feb 2002,80951.19992
Jan 2002,87428.63989
Dec 2001,85435.92163
Nov 2001,83226.30009
Oct 2001,89377.68751
Sep 2001,96704.45191
Aug 2001,105621.93345
Jul 2001,102156.27207
Jun 2001,95658.29115
May 2001,87470.74429
Apr 2001,81060.53414
Mar 2001,84064.24963
Feb 2001,81466.85778
Jan 2001,90825.27235